id,mmsi,length,width,polarMode,centerLookAngle,heightspace,widthspace,path
Ship_C01S01N0001,477939300,138,26,DH,42.51,1.702183,1.124222,Cargo\AggregatesCarrier
Ship_C01S01N0002,371469000,87,12,DH,42.51,1.701591,1.124222,Cargo\AggregatesCarrier
Ship_C01S02N0001,351445000,229,32,DH,27.28,1.72615,1.124222,Cargo\BulkCarrier
Ship_C01S02N0002,477802800,180,30,DH,27.28,1.726202,1.124222,Cargo\BulkCarrier
Ship_C01S02N0003,412753980,150,22,DV,40.36,1.730058,1.124222,Cargo\BulkCarrier
Ship_C01S02N0004,412760730,149,22,DV,40.36,1.730058,1.124222,Cargo\BulkCarrier
Ship_C01S02N0005,413836000,135,22,DV,40.36,1.730058,1.124222,Cargo\BulkCarrier
Ship_C01S02N0006,412355810,122,16,DV,40.36,1.728133,1.124222,Cargo\BulkCarrier
Ship_C01S02N0007,414097000,199,33,DV,40.36,1.728059,1.124222,Cargo\BulkCarrier
Ship_C01S02N0008,414256000,225,32,DV,40.36,1.728059,1.124222,Cargo\BulkCarrier
Ship_C01S02N0009,565129000,175,27,DV,40.36,1.728059,1.124222,Cargo\BulkCarrier
Ship_C01S02N0010,412997000,190,33,DV,40.36,1.728059,1.124222,Cargo\BulkCarrier
Ship_C01S02N0011,413204450,149,23,DV,40.36,1.728059,1.124222,Cargo\BulkCarrier
Ship_C01S02N0012,413364310,199,32,DV,40.36,1.728059,1.124222,Cargo\BulkCarrier
Ship_C01S02N0013,413375890,180,31,DV,40.36,1.728059,1.124222,Cargo\BulkCarrier
Ship_C01S02N0014,412452000,189,32,DV,40.36,1.727984,1.124222,Cargo\BulkCarrier
Ship_C01S02N0015,413630000,147,21,DV,40.36,1.72791,1.124222,Cargo\BulkCarrier
Ship_C01S02N0016,412436220,136,20,DV,40.36,1.72791,1.124222,Cargo\BulkCarrier
Ship_C01S02N0017,413376320,190,32,DV,40.36,1.72791,1.124222,Cargo\BulkCarrier
Ship_C01S02N0018,413326970,163,26,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0019,413356060,140,20,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0020,413363570,99,16,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0021,248007000,289,45,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0022,413423670,135,19,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0023,413437040,140,20,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0024,248639000,189,32,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0025,413592220,157,22,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0026,413728000,147,21,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0027,413831000,133,20,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0028,413897000,179,25,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0029,413914000,150,22,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0030,413944000,159,24,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0031,414024000,190,32,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0032,477054000,190,33,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0033,477219300,0,0,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0034,4131449,0,0,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0035,566471000,362,65,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0036,949590168,0,0,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0037,41300900,167,26,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0038,412379230,167,24,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0039,412466000,187,29,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0040,412613000,190,32,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0041,412705210,140,20,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0042,412776000,225,32,DH,35.41,1.72843,1.124222,Cargo\BulkCarrier
Ship_C01S02N0043,412084000,225,32,DH,35.41,1.728565,1.124222,Cargo\BulkCarrier
Ship_C01S02N0044,413379850,190,32,DH,35.41,1.728565,1.124222,Cargo\BulkCarrier
Ship_C01S02N0045,413452260,190,31,DH,35.41,1.728565,1.124222,Cargo\BulkCarrier
Ship_C01S02N0046,413925000,225,32,DH,35.41,1.728565,1.124222,Cargo\BulkCarrier
Ship_C01S02N0047,414022000,200,32,DH,35.41,1.728565,1.124222,Cargo\BulkCarrier
Ship_C01S02N0048,414038000,200,32,DH,35.41,1.728565,1.124222,Cargo\BulkCarrier
Ship_C01S02N0049,414757000,199,32,DH,35.41,1.728565,1.124222,Cargo\BulkCarrier
Ship_C01S02N0050,412191000,189,32,DH,35.41,1.728565,1.124222,Cargo\BulkCarrier
Ship_C01S02N0051,374826000,120,17,DH,41.82,1.664834,1.124222,Cargo\BulkCarrier
Ship_C01S02N0052,636092627,260,32,DH,41.82,1.664834,1.124222,Cargo\BulkCarrier
Ship_C01S02N0053,564812000,300,50,DH,41.82,1.66491,1.124222,Cargo\BulkCarrier
Ship_C01S02N0054,413808951,56,11,DH,42.51,1.699753,1.124222,Cargo\BulkCarrier
Ship_C01S02N0055,413325550,96,16,DH,42.51,1.70541,1.124222,Cargo\BulkCarrier
Ship_C01S02N0056,412359190,97,16,DH,42.51,1.70541,1.124222,Cargo\BulkCarrier
Ship_C01S02N0057,412762120,109,17,DH,42.51,1.705332,1.124222,Cargo\BulkCarrier
Ship_C01S02N0058,413422020,147,21,DH,42.51,1.705332,1.124222,Cargo\BulkCarrier
Ship_C01S02N0059,371395000,186,30,DH,42.51,1.705332,1.124222,Cargo\BulkCarrier
Ship_C01S02N0060,412591760,202,33,DH,42.51,1.705332,1.124222,Cargo\BulkCarrier
Ship_C01S02N0061,413429000,135,23,DH,42.51,1.705253,1.124222,Cargo\BulkCarrier
Ship_C01S02N0062,371201000,292,45,DH,42.51,1.705253,1.124222,Cargo\BulkCarrier
Ship_C01S02N0063,371395000,186,30,DH,42.51,1.705253,1.124222,Cargo\BulkCarrier
Ship_C01S02N0064,413438460,172,24,DH,40.36,1.729688,1.124222,Cargo\BulkCarrier
Ship_C01S02N0065,900025797,0,0,DH,40.36,1.729688,1.124222,Cargo\BulkCarrier
Ship_C01S02N0066,412921599,0,0,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0067,215047000,170,27,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0068,413364256,0,0,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0069,413374480,147,21,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0070,413443450,80,15,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0071,413556186,62,12,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0072,413595000,147,21,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0073,413671000,155,22,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0074,414086000,225,32,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0075,600013083,0,0,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0076,412356260,135,22,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0077,412405730,0,0,DH,40.36,1.729389,1.124222,Cargo\BulkCarrier
Ship_C01S02N0078,413448650,70,14,DH,40.36,1.729316,1.124222,Cargo\BulkCarrier
Ship_C01S02N0079,412380390,127,19,DH,40.36,1.729316,1.124222,Cargo\BulkCarrier
Ship_C01S02N0080,413426910,57,10,DH,40.36,1.729171,1.124222,Cargo\BulkCarrier
Ship_C01S02N0081,412550771,0,0,DH,40.36,1.729171,1.124222,Cargo\BulkCarrier
Ship_C01S02N0082,413579000,200,32,DH,40.36,1.729098,1.124222,Cargo\BulkCarrier
Ship_C01S02N0083,413693210,140,20,DH,40.36,1.729098,1.124222,Cargo\BulkCarrier
Ship_C01S02N0084,413573000,180,30,DH,40.36,1.728952,1.124222,Cargo\BulkCarrier
Ship_C01S02N0085,414013000,190,32,DH,40.36,1.728658,1.124222,Cargo\BulkCarrier
Ship_C01S02N0086,414282000,192,32,DH,40.36,1.728585,1.124222,Cargo\BulkCarrier
Ship_C01S02N0087,413446930,160,25,DH,40.36,1.728585,1.124222,Cargo\BulkCarrier
Ship_C01S02N0088,253256000,277,40,DH,40.36,1.72814,1.124222,Cargo\BulkCarrier
Ship_C01S02N0089,413375890,180,31,DH,40.36,1.72814,1.124222,Cargo\BulkCarrier
Ship_C01S02N0090,412764340,163,26,DH,40.36,1.727817,1.124222,Cargo\BulkCarrier
Ship_C01S02N0091,413324150,147,21,DH,40.36,1.727817,1.124222,Cargo\BulkCarrier
Ship_C01S02N0092,413470010,113,17,DH,40.36,1.727817,1.124222,Cargo\BulkCarrier
Ship_C01S02N0093,413631000,149,21,DH,40.36,1.727817,1.124222,Cargo\BulkCarrier
Ship_C01S02N0094,413736000,190,32,DH,40.36,1.727817,1.124222,Cargo\BulkCarrier
Ship_C01S02N0095,414116000,196,32,DH,40.36,1.727817,1.124222,Cargo\BulkCarrier
Ship_C01S02N0096,414780000,189,32,DH,40.36,1.727817,1.124222,Cargo\BulkCarrier
Ship_C01S02N0097,413982000,190,32,DH,40.36,1.727738,1.124222,Cargo\BulkCarrier
Ship_C01S02N0098,414123000,215,32,DH,40.36,1.727738,1.124222,Cargo\BulkCarrier
Ship_C01S02N0099,414738000,189,32,DH,40.36,1.727738,1.124222,Cargo\BulkCarrier
Ship_C01S02N0100,413300930,96,16,DH,40.36,1.727738,1.124222,Cargo\BulkCarrier
Ship_C01S02N0101,413272000,225,32,DH,40.36,1.727665,1.124222,Cargo\BulkCarrier
Ship_C01S02N0102,414123000,215,32,DH,40.36,1.727665,1.124222,Cargo\BulkCarrier
Ship_C01S02N0103,311000125,292,45,DH,40.36,1.727517,1.124222,Cargo\BulkCarrier
Ship_C01S02N0104,412331740,95,18,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0105,412353580,120,10,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0106,412362000,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0107,412376580,139,20,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0108,412379250,173,24,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
